Rank;Name;Team;Match;WWCD;Elims;Placement;Total;Survival Time;Max elim range;In Damage;Heal;Headshot;Drive distance;Death;Damage;Assist;Air drop;Moving distance;Region ;Week;Day
57;FGxBigMilo;Furious Gaming;3;0;1;10;11;2108;0;464;0;1;10583;3;148;0;0;15093;PMGC West;Weekday 3;2
58;KnightsChico;Knights;3;0;5;6;11;2964;0;834;332;0;9430;3;585;2;0;16954;PMGC West;Weekday 3;2
59;FRESH;Unicorns of Love;4;0;6;4;10;3620;0;562;142;0;23549;4;1434;3;0;30114;PMGC West;Weekday 3;2
60;FGxTrigga;Furious Gaming;3;0;0;10;10;2811;0;634;195;0;10408;3;174;0;0;15962;PMGC West;Weekday 3;2
61;FGxScreaaMvc;Furious Gaming;3;0;0;10;10;2728;0;585;139;0;8627;3;27;1;0;14810;PMGC West;Weekday 3;2
62;FGxTiggerZin;Furious Gaming;3;0;0;10;10;3191;0;798;381;0;12029;3;331;1;0;17243;PMGC West;Weekday 3;2
63;GK1st;Unicorns of Love;4;0;5;4;9;3992;0;707;537;1;31066;4;842;2;0;38382;PMGC West;Weekday 3;2
64;KnightsAlucard;Knights;3;0;2;6;8;2145;0;672;288;1;8462;3;532;1;0;13725;PMGC West;Weekday 3;2
65;KnightsKoops;Knights;3;0;2;6;8;3053;0;1135;719;1;12842;3;601;2;0;19534;PMGC West;Weekday 3;2
66;KnightsZenox;Knights;3;0;2;6;8;3068;0;535;119;1;13673;3;733;4;1;19133;PMGC West;Weekday 3;2
67;LLIN;Unicorns of Love;4;0;3;4;7;2435;0;1007;300;0;17276;4;708;1;0;21082;PMGC West;Weekday 3;2
68;ROLKIS;Unicorns of Love;4;0;3;4;7;3972;0;771;402;1;33347;4;972;4;0;39625;PMGC West;Weekday 3;2
69;estAthiS;PMGC Eastern Stars;3;0;4;3;7;2450;117;464;862;0;12734;3;381;1;0;16719;PMGC West;Weekday 3;2
70;estOCTAVIANmvp;PMGC Eastern Stars;3;0;3;3;6;2431;135;448;354;0;10972;3;762;2;0;15536;PMGC West;Weekday 3;2
71;KILLSWITCH;XSET;3;0;3;3;6;2445;186;806;252;0;7969;3;657;1;0;13562;PMGC West;Weekday 3;2
72;estKapahala;PMGC Eastern Stars;3;0;2;3;5;2674;24;468;899;0;13290;3;471;2;0;19019;PMGC West;Weekday 3;2
73;estBAZZZI;PMGC Eastern Stars;3;0;2;3;5;2587;122;758;693;1;12053;3;342;3;0;17182;PMGC West;Weekday 3;2
74;J7;XSET;3;0;2;3;5;2040;0;575;117;0;7290;3;389;3;0;11947;PMGC West;Weekday 3;2
75;Polo;XSET;3;0;2;3;5;1710;0;556;82;0;7312;3;700;0;0;10995;PMGC West;Weekday 3;2
76;Jayy;XSET;3;0;2;3;5;3458;0;655;489;0;9564;3;773;2;0;17922;PMGC West;Weekday 3;2
77;BDgxlden;Black Dragons e-Sports;4;0;2;1;3;3208;0;882;195;0;23082;4;567;0;0;29515;PMGC West;Weekday 3;2
78;BDromuloziN333;Black Dragons e-Sports;4;0;0;1;1;2617;0;807;130;0;16467;4;26;0;0;21791;PMGC West;Weekday 3;2
79;BDgcgod;Black Dragons e-Sports;4;0;0;1;1;2999;0;737;263;0;20594;4;141;0;0;25513;PMGC West;Weekday 3;2
80;BDfoquisinX3;Black Dragons e-Sports;4;0;0;1;1;2798;0;757;205;0;21554;4;84;0;0;27281;PMGC West;Weekday 3;2
1;S2GTimber;S2G Esports;5;2;16;49;65;6565;56;1524;903;3;19523;3;2889;7;0;28909;PMGC West;Super Weekend 1;1
2;S2GCalsee;S2G Esports;5;2;15;49;64;5711;0;1169;669;2;20460;3;2169;7;2;29103;PMGC West;Super Weekend 1;1
3;S2GSylasPew;S2G Esports;5;2;8;49;57;6941;172;1544;1005;0;30049;4;2454;11;1;42218;PMGC West;Super Weekend 1;1
4;S2GRipSevinnn;S2G Esports;5;2;5;49;54;6448;0;1812;990;1;22245;5;2583;7;0;34496;PMGC West;Super Weekend 1;1
5;LLIN;Unicorns of Love;5;1;14;37;51;6088;178;1037;1242;2;43173;4;1835;4;0;53632;PMGC West;Super Weekend 1;1
6;HH24;Ghost Gaming;5;1;14;36;50;5779;179;1237;733;1;12360;4;1872;2;1;25710;PMGC West;Super Weekend 1;1
7;ROLKIS;Unicorns of Love;5;1;6;37;43;6240;223;840;3161;0;42372;4;1598;5;0;51801;PMGC West;Super Weekend 1;1
8;GK1st;Unicorns of Love;5;1;5;37;42;4949;0;907;1398;3;39293;5;919;2;0;46903;PMGC West;Super Weekend 1;1
9;spec;Ghost Gaming;5;1;6;36;42;5296;230;1233;901;1;12942;5;1526;1;0;22095;PMGC West;Super Weekend 1;1
10;FRESH;Unicorns of Love;5;1;4;37;41;5184;0;1121;998;0;34929;5;1301;2;0;43987;PMGC West;Super Weekend 1;1
11;Tensa;Ghost Gaming;5;1;5;36;41;5988;191;1132;587;2;13803;4;1560;3;0;25546;PMGC West;Super Weekend 1;1
12;Beowulf;Ghost Gaming;5;1;2;36;38;5050;0;1260;473;0;16316;5;692;1;0;26847;PMGC West;Super Weekend 1;1
13;FBFalky;1907 Fenerbahce Esports;5;0;8;28;36;6002;101;1066;456;2;27505;5;1013;5;0;38767;PMGC West;Super Weekend 1;1
14;FBDokunMachine;1907 Fenerbahce Esports;5;0;5;28;33;5532;0;1239;624;1;25208;5;1202;5;0;36599;PMGC West;Super Weekend 1;1
15;FBKnoxBOMB;1907 Fenerbahce Esports;5;0;5;28;33;5755;0;1241;482;0;31323;5;1260;5;0;41867;PMGC West;Super Weekend 1;1
16;Rebelion;1907 Fenerbahce Esports;5;0;4;28;32;6140;211;1242;2064;0;26592;5;674;3;0;38698;PMGC West;Super Weekend 1;1
17;NAVIMATICCC666;Natus Vincere;5;0;9;20;29;6239;83;1253;1150;1;39156;5;1559;6;0;50911;PMGC West;Super Weekend 1;1
18;KnightsZenox;Knights;5;0;9;19;28;5356;45;1123;1038;1;20767;5;1428;4;0;30860;PMGC West;Super Weekend 1;1
19;NAVIMEQQQU;Natus Vincere;5;0;7;20;27;6305;206;1353;1093;2;29122;5;1458;2;0;40252;PMGC West;Super Weekend 1;1
20;KnightsKoops;Knights;5;0;8;19;27;5369;1;1474;875;0;20904;5;2153;4;0;31805;PMGC West;Super Weekend 1;1
21;RiseMYTHIC;Rise;5;1;9;18;27;5174;8;1245;573;1;23581;4;1787;5;0;30935;PMGC West;Super Weekend 1;1
22;BDromuloziN333;Black Dragons e-Sports;5;0;5;22;27;4652;20;1137;741;0;22013;5;929;1;0;29907;PMGC West;Super Weekend 1;1
23;estBAZZZI;PMGC Eastern Stars;5;0;7;19;26;5409;158;891;508;0;28293;5;1175;3;1;37790;PMGC West;Super Weekend 1;1
24;estKapahala;PMGC Eastern Stars;5;0;6;19;25;5383;173;821;740;0;25240;5;1395;7;0;33834;PMGC West;Super Weekend 1;1
25;BDgxlden;Black Dragons e-Sports;5;0;3;22;25;4049;0;1155;410;0;20780;5;821;3;0;26293;PMGC West;Super Weekend 1;1
26;BDfoquisinX3;Black Dragons e-Sports;5;0;3;22;25;3919;3;1453;498;0;16833;5;793;1;0;23591;PMGC West;Super Weekend 1;1
27;estAthiS;PMGC Eastern Stars;5;0;5;19;24;5296;128;1149;690;0;28609;5;1651;4;1;37165;PMGC West;Super Weekend 1;1
28;NAVITIXZYYY;Natus Vincere;5;0;4;20;24;6205;0;1140;1163;0;27921;5;1445;9;0;41349;PMGC West;Super Weekend 1;1
29;KnightsChico;Knights;5;0;5;19;24;5601;0;1405;628;0;14749;5;2046;2;0;24654;PMGC West;Super Weekend 1;1
30;BDgcgod;Black Dragons e-Sports;5;0;2;22;24;4457;0;1448;781;0;20444;5;1189;5;0;28442;PMGC West;Super Weekend 1;1
31;estOCTAVIANmvp;PMGC Eastern Stars;5;0;4;19;23;5364;0;1091;839;0;26421;5;1362;3;0;35882;PMGC West;Super Weekend 1;1
32;KnightsAlucard;Knights;5;0;4;19;23;5226;0;1028;285;0;22604;5;788;2;0;31768;PMGC West;Super Weekend 1;1
33;FROZENNXz;Kaos Next Ruya;5;0;6;17;23;5371;0;801;562;2;24467;5;1194;1;0;33186;PMGC West;Super Weekend 1;1
34;RiseMUFASAA;Rise;5;1;5;18;23;4007;84;981;407;1;14961;5;989;3;0;21461;PMGC West;Super Weekend 1;1
35;YEKTA;Kaos Next Ruya;5;0;5;17;22;6146;241;1170;774;1;19723;5;1183;3;0;31221;PMGC West;Super Weekend 1;1
36;NAVIKITSUNÉ;Natus Vincere;5;0;1;20;21;6231;0;1207;1135;0;36952;5;1091;4;2;47944;PMGC West;Super Weekend 1;1
37;RiseNUNES;Rise;5;1;3;18;21;5630;132;1164;523;1;28050;5;852;1;0;37996;PMGC West;Super Weekend 1;1
38;RiseGARRYX;Rise;5;1;3;18;21;5780;4;822;275;0;23704;4;869;3;0;32476;PMGC West;Super Weekend 1;1
39;KUDUR;Kaos Next Ruya;5;0;2;17;19;5185;0;1174;692;0;20760;5;456;0;0;30290;PMGC West;Super Weekend 1;1
40;NIHAT;Kaos Next Ruya;5;0;2;17;19;5387;70;1276;696;0;21045;5;413;1;0;30961;PMGC West;Super Weekend 1;1
41;AT7Asta;Aton Esports;5;0;4;13;17;4638;0;1044;370;1;25282;5;595;1;0;34510;PMGC West;Super Weekend 1;1
42;AT7Milos;Aton Esports;5;0;3;13;16;4301;0;1261;595;1;24272;5;683;1;0;32139;PMGC West;Super Weekend 1;1
43;A7REVO;Alpha7 Esports;5;0;7;9;16;5584;43;1284;638;0;38702;5;1270;2;0;47351;PMGC West;Super Weekend 1;1
44;AT7chooco;Aton Esports;5;0;0;13;13;4675;0;933;1300;0;26616;5;650;3;0;34201;PMGC West;Super Weekend 1;1
45;AT7cardi;Aton Esports;5;0;0;13;13;3850;0;1004;171;0;22792;5;230;0;0;30238;PMGC West;Super Weekend 1;1
46;A7SENAAAATEXA;Alpha7 Esports;5;0;4;9;13;5573;9;1251;1462;0;40875;5;1230;1;0;49034;PMGC West;Super Weekend 1;1
47;FUTLutz;Futbolist;5;0;5;7;12;5724;252;1198;957;0;31928;5;1049;3;0;41048;PMGC West;Super Weekend 1;1
48;SMBSavieN;SuperMassive Blaze;5;0;4;8;12;3794;0;877;216;1;6236;5;753;2;0;15821;PMGC West;Super Weekend 1;1
49;FUTSolkay;Futbolist;5;0;4;7;11;5254;0;1110;391;0;36769;5;989;1;0;46437;PMGC West;Super Weekend 1;1
50;A7MAAAAFIOSO;Alpha7 Esports;5;0;2;9;11;5133;0;1091;426;0;34230;5;739;2;1;42016;PMGC West;Super Weekend 1;1
51;FUTRaum;Futbolist;5;0;3;7;10;5531;0;983;592;0;31260;5;880;1;1;41465;PMGC West;Super Weekend 1;1
52;SMBTron;SuperMassive Blaze;5;0;2;8;10;4284;0;803;226;0;8890;5;852;2;0;18079;PMGC West;Super Weekend 1;1
53;SMBKorcerrah;SuperMassive Blaze;5;0;2;8;10;3545;0;1056;490;0;8920;5;561;2;0;16361;PMGC West;Super Weekend 1;1
54;A7CAAAARRILHO;Alpha7 Esports;5;0;0;9;9;5514;0;1271;658;0;41871;5;878;7;0;51832;PMGC West;Super Weekend 1;1
55;SMBKecth;SuperMassive Blaze;5;0;1;8;9;3005;0;972;421;1;10185;5;585;2;0;16764;PMGC West;Super Weekend 1;1
56;FUTLovazin;Futbolist;5;0;1;7;8;5093;67;609;252;0;24235;5;486;1;1;34295;PMGC West;Super Weekend 1;1
57;madYinYang;MadBulls;5;0;3;4;7;5544;117;996;506;1;24870;5;735;1;0;32499;PMGC West;Super Weekend 1;1
58;madAGHORI;MadBulls;5;0;2;4;6;5629;0;708;400;0;25550;5;362;3;0;35455;PMGC West;Super Weekend 1;1
59;madEFFECT;MadBulls;5;0;2;4;6;5553;0;739;237;0;16354;5;513;1;0;28126;PMGC West;Super Weekend 1;1
60;FGxScreaaMvc;Furious Gaming;4;0;1;4;5;4179;0;486;346;0;17882;4;662;2;0;25915;PMGC West;Super Weekend 1;1
61;madMONKY;MadBulls;5;0;1;4;5;5562;0;986;519;0;24547;5;347;2;0;36065;PMGC West;Super Weekend 1;1
62;FGxPapiPotro;Furious Gaming;5;0;0;4;4;1832;0;922;132;0;12011;5;365;1;0;15253;PMGC West;Super Weekend 1;1
63;FGxTiggerZin;Furious Gaming;5;0;0;4;4;3269;0;867;308;0;18350;5;449;0;0;23437;PMGC West;Super Weekend 1;1
64;FGxTrigga;Furious Gaming;4;0;1;3;4;2706;0;647;100;0;15857;4;330;0;0;22370;PMGC West;Super Weekend 1;1
65;FGxBigMilo;Furious Gaming;2;0;0;1;1;678;0;284;0;0;9243;2;0;0;0;10190;PMGC West;Super Weekend 1;1
1;A7CAAAARRILHO;Alpha7 Esports;5;1;13;42;55;6094;50;958;391;3;32946;4;2375;7;1;44086;PMGC West;Super Weekend 1;2
2;A7REVO;Alpha7 Esports;5;1;10;42;52;6563;104;1386;638;1;38335;5;1872;3;0;48659;PMGC West;Super Weekend 1;2
3;S2GSylasPew;S2G Esports;5;2;13;38;51;5395;26;1377;731;0;29442;4;2264;6;0;39732;PMGC West;Super Weekend 1;2
4;S2GRipSevinnn;S2G Esports;5;2;12;38;50;5442;97;1781;1076;1;25587;4;1681;5;0;35665;PMGC West;Super Weekend 1;2
5;A7MAAAAFIOSO;Alpha7 Esports;5;1;8;42;50;6274;155;1209;748;1;29052;4;951;2;1;40464;PMGC West;Super Weekend 1;2
6;A7SENAAAATEXA;Alpha7 Esports;5;1;8;42;50;6876;50;1253;892;1;37707;4;2021;9;0;46971;PMGC West;Super Weekend 1;2
7;S2GCalsee;S2G Esports;5;2;8;38;46;5725;64;1121;656;1;26232;3;2371;7;0;35214;PMGC West;Super Weekend 1;2
8;S2GTimber;S2G Esports;5;2;8;38;46;4918;0;1055;521;0;25018;3;1889;8;0;31335;PMGC West;Super Weekend 1;2
9;estOCTAVIANmvp;PMGC Eastern Stars;5;1;12;28;40;6227;26;1144;908;1;35405;4;1230;1;0;44926;PMGC West;Super Weekend 1;2
10;ROLKIS;Unicorns of Love;5;0;10;29;39;5833;107;1008;2903;1;48249;5;2028;2;0;57818;PMGC West;Super Weekend 1;2
11;GK1st;Unicorns of Love;5;0;6;29;35;5242;0;1018;832;0;45153;5;1424;7;0;53475;PMGC West;Super Weekend 1;2
12;LLIN;Unicorns of Love;5;0;6;29;35;5940;0;830;1061;0;44469;5;1219;2;0;53828;PMGC West;Super Weekend 1;2
13;FBDokunMachine;1907 Fenerbahce Esports;5;0;12;22;34;6725;55;1390;709;1;30784;5;2200;5;1;43110;PMGC West;Super Weekend 1;2
14;HH24;Ghost Gaming;5;0;8;25;33;4199;304;1015;330;0;14017;5;1579;2;0;21984;PMGC West;Super Weekend 1;2
15;estAthiS;PMGC Eastern Stars;5;1;4;28;32;6313;0;1321;1090;2;39220;5;1070;3;0;48742;PMGC West;Super Weekend 1;2
16;FRESH;Unicorns of Love;5;0;3;29;32;5605;0;1277;1244;0;42391;5;1297;6;0;51659;PMGC West;Super Weekend 1;2
17;estKapahala;PMGC Eastern Stars;5;1;3;28;31;5346;0;689;585;0;28545;4;989;5;0;38517;PMGC West;Super Weekend 1;2
18;estBAZZZI;PMGC Eastern Stars;5;1;3;28;31;5320;35;911;627;0;28975;5;765;2;0;38375;PMGC West;Super Weekend 1;2
19;Tensa;Ghost Gaming;5;0;5;25;30;4550;0;1171;487;0;13149;5;801;4;0;20963;PMGC West;Super Weekend 1;2
20;Beowulf;Ghost Gaming;5;0;4;25;29;4620;98;1428;745;1;12873;5;1001;3;0;19614;PMGC West;Super Weekend 1;2
21;FGxBigMilo;Furious Gaming;5;1;6;23;29;4964;58;660;290;0;17152;4;1168;1;0;25461;PMGC West;Super Weekend 1;2
22;FGxScreaaMvc;Furious Gaming;5;1;5;23;28;5723;103;812;415;1;10176;4;1482;5;0;20410;PMGC West;Super Weekend 1;2
23;Rebelion;1907 Fenerbahce Esports;5;0;6;22;28;5405;222;892;459;1;24071;5;1116;4;0;35572;PMGC West;Super Weekend 1;2
24;spec;Ghost Gaming;5;0;2;25;27;3934;0;1126;432;0;12614;5;866;3;0;18621;PMGC West;Super Weekend 1;2
25;RiseNUNES;Rise;5;0;9;18;27;5490;0;761;485;1;23268;5;1442;4;0;33377;PMGC West;Super Weekend 1;2
26;RiseMYTHIC;Rise;5;0;9;18;27;4349;0;975;385;1;16518;5;1355;2;0;25725;PMGC West;Super Weekend 1;2
27;FGxTiggerZin;Furious Gaming;5;1;3;23;26;5803;282;1208;398;0;14890;5;939;6;0;25849;PMGC West;Super Weekend 1;2
28;FBFalky;1907 Fenerbahce Esports;5;0;4;22;26;6452;56;1353;704;0;24925;5;1097;2;0;37360;PMGC West;Super Weekend 1;2
29;FGxTrigga;Furious Gaming;5;1;2;23;25;5452;0;1022;257;0;14926;5;817;3;0;27952;PMGC West;Super Weekend 1;2
30;madEFFECT;MadBulls;5;0;5;18;23;5311;0;1030;1023;2;32238;5;1078;2;0;42295;PMGC West;Super Weekend 1;2
31;RiseMUFASAA;Rise;5;0;5;18;23;5418;0;821;508;0;22279;5;643;0;0;32442;PMGC West;Super Weekend 1;2
32;FBKnoxBOMB;1907 Fenerbahce Esports;5;0;1;22;23;5372;0;1399;625;1;29527;5;608;2;0;37529;PMGC West;Super Weekend 1;2
33;RiseGARRYX;Rise;5;0;3;18;21;5065;265;1113;374;1;21856;5;780;1;0;31112;PMGC West;Super Weekend 1;2
34;madMONKY;MadBulls;5;0;2;18;20;5246;4;1119;835;1;34081;5;828;1;0;42420;PMGC West;Super Weekend 1;2
35;madAGHORI;MadBulls;5;0;1;18;19;4347;0;777;2107;0;27929;5;581;0;0;33949;PMGC West;Super Weekend 1;2
36;madYinYang;MadBulls;5;0;0;18;18;4436;0;1321;660;0;25690;5;174;2;0;32150;PMGC West;Super Weekend 1;2
37;SMBSavieN;SuperMassive Blaze;5;0;5;13;18;3860;0;1197;308;0;18159;5;960;1;0;26110;PMGC West;Super Weekend 1;2
38;KnightsZenox;Knights;5;0;9;9;18;5461;211;1234;700;0;17050;5;1307;3;0;27035;PMGC West;Super Weekend 1;2
39;SMBKecth;SuperMassive Blaze;5;0;4;13;17;4664;170;1069;408;0;13126;5;1738;5;0;21470;PMGC West;Super Weekend 1;2
40;SMBKorcerrah;SuperMassive Blaze;5;0;2;13;15;5027;234;1083;464;0;19060;5;1177;3;0;26691;PMGC West;Super Weekend 1;2
41;KnightsKoops;Knights;5;0;6;9;15;5537;27;1496;835;1;15194;5;1577;3;0;27467;PMGC West;Super Weekend 1;2
42;BDgxlden;Black Dragons e-Sports;5;0;4;10;14;4700;0;1022;391;0;32681;5;770;1;0;40617;PMGC West;Super Weekend 1;2
43;BDromuloziN333;Black Dragons e-Sports;5;0;4;10;14;4118;0;974;145;1;24812;5;1475;4;0;31857;PMGC West;Super Weekend 1;2
44;BDfoquisinX3;Black Dragons e-Sports;5;0;4;10;14;4909;7;1017;411;1;25232;5;777;2;0;34379;PMGC West;Super Weekend 1;2
45;SMBTron;SuperMassive Blaze;5;0;0;13;13;3470;0;1043;208;0;7826;5;731;4;0;15984;PMGC West;Super Weekend 1;2
46;FUTSolkay;Futbolist;5;0;5;8;13;5345;0;1097;490;0;38805;5;1192;1;0;47484;PMGC West;Super Weekend 1;2
47;KnightsAlucard;Knights;5;0;4;9;13;5547;242;1036;952;0;17701;5;1044;6;1;30831;PMGC West;Super Weekend 1;2
48;FUTLovazin;Futbolist;5;0;4;8;12;5795;21;1330;833;1;33235;5;1300;3;0;41608;PMGC West;Super Weekend 1;2
49;BDgcgod;Black Dragons e-Sports;5;0;2;10;12;4614;0;1120;306;0;32505;5;800;3;1;40431;PMGC West;Super Weekend 1;2
50;NAVITIXZYYY;Natus Vincere;5;0;3;9;12;4202;0;679;338;0;25610;5;709;0;1;34337;PMGC West;Super Weekend 1;2
51;FROZENNXz;Kaos Next Ruya;5;0;2;10;12;4789;0;960;347;0;20386;5;1269;3;0;29559;PMGC West;Super Weekend 1;2
52;YEKTA;Kaos Next Ruya;5;0;2;10;12;4279;0;879;389;0;20183;5;378;0;0;29437;PMGC West;Super Weekend 1;2
53;KUDUR;Kaos Next Ruya;5;0;2;10;12;4078;0;1251;574;1;25206;5;692;0;1;33410;PMGC West;Super Weekend 1;2
54;KnightsChico;Knights;5;0;3;9;12;4486;0;1032;207;0;15221;5;568;1;0;25652;PMGC West;Super Weekend 1;2
55;FUTLutz;Futbolist;5;0;3;8;11;4119;0;1135;394;0;24154;5;565;0;0;32431;PMGC West;Super Weekend 1;2
56;NAVIKITSUNÉ;Natus Vincere;5;0;2;9;11;5097;19;974;708;0;34486;5;915;0;0;42693;PMGC West;Super Weekend 1;2
57;NIHAT;Kaos Next Ruya;5;0;1;10;11;4416;0;1001;554;1;26530;5;327;0;0;34266;PMGC West;Super Weekend 1;2
58;FUTRaum;Futbolist;5;0;2;8;10;4656;0;1125;473;1;29566;5;570;1;0;37028;PMGC West;Super Weekend 1;2
59;NAVIMATICCC666;Natus Vincere;5;0;1;9;10;3689;0;926;269;0;22492;5;432;0;0;30093;PMGC West;Super Weekend 1;2
60;AT7chooco;Aton Esports;5;0;1;8;9;5335;0;813;1253;0;23204;5;630;1;0;32915;PMGC West;Super Weekend 1;2
61;AT7Asta;Aton Esports;5;0;1;8;9;4756;0;1274;521;1;19906;5;461;1;0;29364;PMGC West;Super Weekend 1;2
62;AT7cardi;Aton Esports;5;0;1;8;9;4993;0;944;154;1;22548;5;291;0;0;33586;PMGC West;Super Weekend 1;2
63;NAVIMEQQQU;Natus Vincere;5;0;0;9;9;4037;0;977;369;0;26603;5;380;1;0;33871;PMGC West;Super Weekend 1;2
64;AT7Milos;Aton Esports;5;0;0;8;8;4779;0;1143;413;0;24573;5;549;2;1;33340;PMGC West;Super Weekend 1;2
1;madEFFECT;MadBulls;5;1;10;40;50;6653;202;1563;1360;4;32169;4;1989;3;0;43073;PMGC West;Super Weekend 1;3
2;madMONKY;MadBulls;5;1;6;40;46;6509;145;1404;1156;2;40300;5;988;1;0;50715;PMGC West;Super Weekend 1;3
3;madYinYang;MadBulls;5;1;4;40;44;6451;171;1282;1022;2;33540;5;1374;3;0;42839;PMGC West;Super Weekend 1;3
4;FBDokunMachine;1907 Fenerbahce Esports;5;0;7;36;43;5178;0;1056;374;0;22581;5;1168;6;1;33602;PMGC West;Super Weekend 1;3
5;FBKnoxBOMB;1907 Fenerbahce Esports;5;0;7;36;43;5183;0;1364;866;2;26470;5;1542;3;0;36882;PMGC West;Super Weekend 1;3
6;Rebelion;1907 Fenerbahce Esports;5;0;5;36;41;5053;9;1415;594;0;21307;5;1018;2;1;32707;PMGC West;Super Weekend 1;3
7;madAGHORI;MadBulls;5;1;0;40;40;6446;0;1006;1815;0;34550;4;576;2;0;44240;PMGC West;Super Weekend 1;3
8;BDromuloziN333;Black Dragons e-Sports;5;1;8;32;40;4896;0;1589;878;3;16815;5;1562;3;0;26691;PMGC West;Super Weekend 1;3
9;BDgcgod;Black Dragons e-Sports;5;1;8;32;40;5457;277;791;468;0;26923;4;1218;3;1;37413;PMGC West;Super Weekend 1;3
10;FBFalky;1907 Fenerbahce Esports;5;0;2;36;38;5976;0;1199;481;0;20018;5;655;3;0;31388;PMGC West;Super Weekend 1;3
11;BDgxlden;Black Dragons e-Sports;5;1;5;32;37;6029;63;1155;639;1;26229;4;2242;4;0;36664;PMGC West;Super Weekend 1;3
12;BDfoquisinX3;Black Dragons e-Sports;5;1;5;32;37;5924;26;1038;372;0;23943;5;1538;0;1;34305;PMGC West;Super Weekend 1;3
13;KnightsKoops;Knights;5;1;8;28;36;5477;249;1063;717;2;23732;5;2048;5;0;34912;PMGC West;Super Weekend 1;3
14;KnightsZenox;Knights;5;1;8;28;36;5788;0;1072;1737;1;22323;4;1882;4;0;32915;PMGC West;Super Weekend 1;3
15;KnightsChico;Knights;5;1;6;28;34;4937;0;1145;498;0;21105;4;938;1;0;31801;PMGC West;Super Weekend 1;3
16;GK1st;Unicorns of Love;5;0;10;24;34;5360;130;979;589;1;33672;5;1827;4;0;42876;PMGC West;Super Weekend 1;3
17;KnightsAlucard;Knights;5;1;3;28;31;5736;0;933;337;1;22413;4;814;1;1;34334;PMGC West;Super Weekend 1;3
18;FROZENNXz;Kaos Next Ruya;5;1;11;18;29;4860;65;1161;432;5;13412;4;1665;4;0;21770;PMGC West;Super Weekend 1;3
19;FRESH;Unicorns of Love;5;0;4;24;28;5313;142;995;636;0;40302;5;602;1;0;48907;PMGC West;Super Weekend 1;3
20;S2GCalsee;S2G Esports;5;1;7;19;26;5032;54;1240;608;2;12228;5;1225;4;0;21770;PMGC West;Super Weekend 1;3
21;ROLKIS;Unicorns of Love;5;0;2;24;26;5725;0;1279;868;1;43563;5;1183;6;1;52212;PMGC West;Super Weekend 1;3
22;LLIN;Unicorns of Love;5;0;1;24;25;5081;0;535;2663;0;31899;5;794;2;0;43592;PMGC West;Super Weekend 1;3
23;A7CAAAARRILHO;Alpha7 Esports;5;0;8;16;24;5993;37;1282;713;2;35467;5;2007;10;1;46428;PMGC West;Super Weekend 1;3
24;S2GSylasPew;S2G Esports;5;1;5;19;24;4819;0;1491;788;0;18025;4;1067;5;3;26176;PMGC West;Super Weekend 1;3
25;S2GTimber;S2G Esports;5;1;5;19;24;4881;0;929;314;2;11996;5;1493;2;0;20916;PMGC West;Super Weekend 1;3
26;KUDUR;Kaos Next Ruya;5;1;6;18;24;5976;14;1150;798;0;23842;4;1580;7;0;33540;PMGC West;Super Weekend 1;3
27;NIHAT;Kaos Next Ruya;5;1;5;18;23;5549;82;1103;359;1;15277;4;811;4;0;26928;PMGC West;Super Weekend 1;3
28;RiseMYTHIC;Rise;5;0;6;16;22;5059;0;1280;679;1;18117;5;1244;6;0;27374;PMGC West;Super Weekend 1;3
29;A7REVO;Alpha7 Esports;5;0;6;16;22;6214;0;1189;499;0;32537;5;1237;7;0;43930;PMGC West;Super Weekend 1;3
30;A7SENAAAATEXA;Alpha7 Esports;5;0;6;16;22;6278;0;1155;798;3;37051;5;1218;6;0;46773;PMGC West;Super Weekend 1;3
31;S2GRipSevinnn;S2G Esports;5;1;3;19;22;4608;0;1220;451;0;10815;5;573;1;0;21015;PMGC West;Super Weekend 1;3
32;A7MAAAAFIOSO;Alpha7 Esports;5;0;5;16;21;5269;42;850;245;0;32572;5;973;5;0;42480;PMGC West;Super Weekend 1;3
33;FUTSolkay;Futbolist;5;0;8;13;21;5909;0;1184;692;1;38070;5;1556;3;0;47063;PMGC West;Super Weekend 1;3
34;YEKTA;Kaos Next Ruya;5;1;2;18;20;4691;5;876;556;0;13714;4;1212;5;0;23566;PMGC West;Super Weekend 1;3
35;FGxPapiPotro;Furious Gaming;5;0;5;15;20;5023;150;1247;580;0;20209;5;1135;1;0;28480;PMGC West;Super Weekend 1;3
36;FGxTrigga;Furious Gaming;5;0;5;15;20;5816;56;845;267;1;23161;5;855;1;0;35197;PMGC West;Super Weekend 1;3
37;RiseGARRYX;Rise;5;0;3;16;19;6195;28;738;360;0;19227;5;566;4;0;29517;PMGC West;Super Weekend 1;3
38;RiseMUFASAA;Rise;5;0;3;16;19;5851;0;1086;409;1;22728;5;1240;2;0;32489;PMGC West;Super Weekend 1;3
39;Beowulf;Ghost Gaming;5;0;7;12;19;4977;97;1327;704;1;10643;5;1175;4;0;20415;PMGC West;Super Weekend 1;3
40;RiseNUNES;Rise;5;0;2;16;18;5268;0;1054;268;0;22694;5;614;2;0;33186;PMGC West;Super Weekend 1;3
41;FGxScreaaMvc;Furious Gaming;4;0;3;15;18;4764;140;1008;667;1;18127;4;431;1;0;26952;PMGC West;Super Weekend 1;3
